,pk_time,pk_mag,a1,a2,std_time,std_mag,std_a1,std_a2,chi_2,filter,name,dof,redshift
32,59316.29332320968,21.200908103692065,1.6073080002674887,-0.2962688890848345,0.70880255190674,0.0260616221657158,0.027952196919963306,0.007954976889632941,47.28341816051868,z,2021jgv  ,12.0,0.245
33,59358.16939919137,22.259955684196093,-4.115126644928967,0.4264875067006609,2.228128801947648,0.06620833376657558,0.1777913210527975,0.025733124849053657,14.536946923667823,r,missing20 ,4.0,0.3718
34,59359.201298018175,22.006363668232847,-4.041219397402766,0.42516827362580195,2.525595958299308,0.05741648274415454,0.17496182797255297,0.025443473533028026,9.946897610729145,r,missing9 ,4.0,0.3655
35,59370.53428586027,21.77883919968899,-3.63557345181685,0.41539732282463465,1.5421286670365002,0.09856155536520676,0.15984039420814852,0.023887103841243186,11.090252392687757,r,missing21 ,5.0,0.3297
36,59303.99716655344,22.51804330730514,-5.621364767468096,-0.1121968659662052,0.6251403086988148,0.042391760084092206,1.601627295448927,0.10215699122504497,118.63442019343704,g,2021jgr ,25.0,0.6396
37,59310.01263045141,22.250733777267026,-5.0764599878228,0.5235322330574431,0.5401407662878303,0.025488072983262323,0.31904305405397176,0.04232588931012418,257.7607414193247,r,2021jgr ,23.0,0.6396
38,59309.77804884539,22.187090063643613,-0.4387276717031772,0.563929828770201,1.5921295606943426,0.049528409898960145,0.051840643208872994,0.013927660033865726,92.2164541945415,z,2021jgr ,18.0,0.6396
39,59354.65575530398,21.92727772760955,-5.79650909196501,0.11740638620869344,0.5883792816562339,0.0382331798681496,0.9313098805047002,0.050120113750811435,22.130745669316806,g,2021mij ,7.0,0.3268
40,59356.771347562004,21.796936201530148,-3.5922454488160334,0.4158041836117042,0.5452763535947756,0.03414354236015692,0.15850556979257355,0.023752588806182078,0.8433844993630685,r,2021mij ,5.0,0.3268
41,59356.34205328286,22.168637599854918,1.1741167999753106,-0.11751256381907375,1.8115571073335273,0.09355925826317982,0.031209968856125352,0.00875700670937688,5.120133613764588,z,2021mij ,5.0,0.3268
42,59358.45291032299,22.41558953505259,-6.4451265486925315,0.11946702465222071,1.0235576620633315,0.08072664839212047,0.9523572223335695,0.04841630823196661,1.1579147674329269,g,missing8 ,4.0,0.3098
43,59362.39954318881,22.00407087190161,-3.399326501158146,0.4107063108914524,0.8336024771522754,0.05134436159441799,0.15220867359946594,0.023096370688126727,0.40680559234951835,r,missing8 ,3.0,0.3098
44,59328.34365329293,19.784745126180333,-1.560912428107005,0.34204328023895014,0.12483059046696265,0.012749583273217029,0.23368078076485596,0.03352473211724149,238.2363665121404,g,2021jhr ,16.0,0.1262
45,59336.22705329293,19.983261376179264,0.001286648381999822,0.4292229867218078,0.0,0.008280060154156707,0.08319930833413965,0.017589430618228857,445.6130124920502,r,2021jhr ,10.0,0.1262
46,59330.913577554114,21.725551285341986,0.5990917630479184,0.12628564307466233,1.132438353133736,0.04972835327578064,0.03702379880769204,0.01022164059664194,49.549445303125324,z,2021jxl ,17.0,0.4387
47,59321.75067017552,22.561233462779565,-2.958826127330212,0.03606544014538408,0.8505849086109041,0.03509305330138124,1.0154083353782062,0.06482079688906395,41.61584231365382,g,2021jxl ,10.0,0.4387
48,59323.85231740438,21.999409506058814,-4.702838607229975,0.44743482417233427,0.5855218053948569,0.0319317729786041,0.2065651204126016,0.029031638191488327,19.378259985328583,r,2021jxl ,9.0,0.4387
49,59302.43717548685,22.30170606070307,-4.367731041382417,0.4400719272306414,0.7315209392147971,0.03874810638047329,0.2407616294656888,0.03384147983172469,190.84607346185265,r,2021hms ,25.0,0.5193
50,59302.52726615227,23.24464409061245,-4.248491069167078,-0.0008605078621546315,1.3447394072821246,0.09045210571649026,1.503810254536013,0.07841748535168268,19.07538920268357,g,2021hms ,12.0,0.5193
