name,redshift,g_pk_time,r_pk_time,z_pk_time,g_a1,r_a1,z_a1,g_a2,r_a2,z_a2,g_std_time,r_std_time,z_std_time,g_std_mag,r_std_mag,z_std_mag,g_std_a1,r_std_a1,z_std_a1,g_std_a2,r_std_a2,z_std_a2,g_pk_mag,r_pk_mag,z_pk_mag
2021hnq  ,0.12935,59343.152389038245,59336.90997524636,,-1.3466165856478545,-1.0693122868733551,,0.2484970977538563,0.3641317740941163,,0.228388713141653,1.8243743508380668,,0.0136524379054865,0.0841239616212226,,0.3776031280582963,0.1049298218630036,,0.0344353485887949,0.0181496979567748,,-18.56962145383847,-16.359217189755313,
2021iak ,0.3584,,59335.056863327394,,,-3.876626035469782,,,0.4197778103911995,,,0.3099482317079474,,,0.0107810374839954,,,0.1681372674369233,,,0.025079973366601,,,-22.010276805757123,
2021iro  ,0.1355,,59351.51943547454,59354.52307,,-1.1854789651532376,2.1669655638247387,,0.3655437358285743,-0.5345503654879706,,2.282844598185593,0.0,,0.1069696523323911,0.094546008966809,,0.1062369254893515,0.0251563736529574,,0.0182552810685678,0.0072436815198029,,-16.136036157503227,-16.764513345893047
2021jel ,0.2103,59309.54078381623,59311.16331032172,59308.914646426434,-6.556097738974419,-2.1606296917791075,1.7911695562933805,0.1670541813106184,0.3874117829503681,-0.3713782318863135,0.3060974146263991,0.3505359779334771,0.922519973259678,0.0158495926347681,0.01434199081069,0.0354822896991993,0.4430012981156468,0.1091836743262326,0.0268609663307025,0.0390876835857462,0.0197524880492294,0.0076849211916454,-19.313104553843573,-19.3605829323825,-18.867205833397254
2021jgk  ,0.3521,59335.82085209285,59329.36568955733,59338.830389557326,-3.845894196664927,-3.899031798903018,1.0446298770707676,0.1035122896050405,0.4324250930282823,-0.0620272856966294,3.152026465589977,0.0,1.970096711965699,0.1333798932405256,0.0265214405488134,0.0691341378813517,0.9560261523529532,0.1663258191921222,0.0323728817634654,0.0532881314837238,0.0247932815886578,0.009050375315786,-18.666317195105165,-19.773892933731776,-19.514387108225606
2021jgl ,0.3467,59311.54427563561,59314.77649059715,59320.97117563561,-5.588162145324519,-3.6597491613254114,1.0731634695058676,0.1017811745521252,0.423881100196354,-0.0736227341323595,0.5161359266175323,0.4922978614998264,0.0,0.021292171722822,0.0176989744859464,0.0649400769595963,0.8160919027506175,0.1569725439567725,0.0321155886000128,0.0524690557040212,0.0245456327885145,0.0089856248455103,-19.806242480706338,-19.914244265441734,-19.575501447835943
2021jgm ,0.3362,,59342.45904120778,59344.65564,,-3.705078396053195,1.1263592422092483,,0.4177319885058204,-0.0967061412360324,,2.873814720796468,0.0,,0.1335996322278312,0.0618056912003516,,0.1624787707341149,0.0316339790487398,,0.0241606913077005,0.0088632851720272,,-17.8108972428401,-19.627132704561664
2021jgn ,0.4452,59336.75277888297,59330.61189312642,59334.322572617515,-7.003388421162858,-5.100981732382527,0.5626690800652849,0.0415885787655413,0.5142176704887356,0.1409649242061548,5.952797284992806,1.166795051420849,2.5367073124404915,0.3718751783650899,0.0844482009949232,0.0837604336322522,1.4622504227203437,0.214270159633455,0.0374580024240367,0.0661502279087119,0.0294563921007841,0.0103205548909599,-19.111581729228647,-19.961543367855676,-20.36066954520674
2021jgo ,0.372,59314.925465411194,59318.76054297272,59315.82720327504,-3.8822020235285017,-3.785399515410429,0.9417859626501984,0.0963811657156794,0.4351846211213217,-0.0190367635273815,0.5925872860099622,0.4530857899508074,1.911972820439319,0.0221130895531307,0.0218401421703902,0.062215612296549,0.7894909288351792,0.1680498701582461,0.0333526480603506,0.0555865261369403,0.0256487601213203,0.0092969742261382,-19.469934579912596,-19.990077539603675,-19.455391500052947
2021jgp ,0.8084,59323.062089072206,59326.83295603132,59335.38702207583,-0.4555413275593794,-2.6166128143484086,-1.3054449122514753,-0.1069573618070843,0.5785081025852435,0.9359159838620392,0.6906244047929123,0.5151351993092808,1.0594100602371816,0.0195577305831556,0.0229180905535131,0.0373654976450631,1.0167503746741382,0.364958446915486,0.0684863237467843,0.1388048884571451,0.056829702845906,0.0180981648513725,-22.028334726644058,-22.062332781457098,-22.019797273339424
2021jgr ,0.6396,59303.99716655344,59310.01263045141,59309.77804884539,-5.621364767468096,-5.0764599878228,-0.4387276717031772,-0.1121968659662052,0.5235322330574431,0.563929828770201,0.6251403086988148,0.5401407662878303,1.5921295606943426,0.0423917600840922,0.0254880729832623,0.0495284098989601,1.601627295448927,0.3190430540539717,0.0518406432088729,0.1021569912250449,0.0423258893101241,0.0139276600338657,-20.38967794137613,-20.656987471414247,-20.720631185037657
2021jgs ,0.2179,59308.63723130682,59313.25049333311,,-3.1566987732438285,-2.1827404832388817,,0.172703025636424,0.3876567746945513,,1.4361390229936408,0.9905214710163628,,0.0777770058158045,0.042369465897549,,0.5484588036173064,0.1215885943335585,,0.0399935106546803,0.0200637657491703,,-18.023646142425847,-18.339511361352024,
2021jgv  ,0.245,59318.73644706936,59322.11048087893,59316.29332320968,-3.959637763368461,-1.588628019885684,1.6073080002674889,0.1918459150750061,0.4255067138701647,-0.2962688890848345,0.169723747381599,0.1920592124689898,0.70880255190674,0.0065789834942552,0.010392618054555,0.0260616221657158,0.359409645801873,0.1103311149874539,0.0279521969199633,0.0414685217319697,0.0204883345062397,0.0079549768896329,-19.71714116093632,-19.91231708700832,-19.25142697191331
2021jgx ,0.1621,,,59342.57667852876,,,2.0304144572753193,,,-0.4765494801732359,,,1.2862548832630298,,,0.063007504501595,,,0.0256899527796425,,,0.0073791078905295,,,-17.492269399986355
2021jhb ,0.54,59285.74783,59296.52783,59293.48366888301,-4.075127615799604,-5.682583585015404,0.074651437251846,-0.0214719699708089,0.4737444445131316,0.3463826495593463,0.0,0.0,18.88485047919145,0.1660059995759806,0.0512410731533702,0.6322859130300741,1.1471150132895094,0.2663257970282529,0.0438324238713505,0.0819686856972951,0.0352375685754456,0.0119173198280522,-21.314383798857556,-21.268000427479745,-21.24632292406988
2021jhd  ,0.3763,59320.81362586541,59320.81362586541,59330.447725865415,-1.923352567316286,-3.924056174034113,0.9208976751266462,0.133914696570754,0.4340579062858092,-0.0097624895945737,0.0,0.0,1.9091849673794887,0.0217052693461485,0.0281585877778876,0.0629054916884183,0.7656185371153732,0.1727105280176169,0.0335614126656787,0.0558192480941713,0.0258675747445844,0.009351893473375,-19.072673010695475,-19.631357306955422,-19.955682009437407
2021jhe ,0.5185,59333.30758914719,59335.07183116668,59343.93708914719,0.0717880072781225,-4.603609668095315,0.1791591798795697,0.0182500990991032,0.4824253935732698,0.3004094186863456,1.1656185217908306,0.5930987514220755,0.0,0.0919679746627712,0.0371978922114005,0.0926833481258163,1.3159071437426506,0.246979398362874,0.042298929506558,0.078239662782276,0.033810053787403,0.0115295375539689,-19.771264296939844,-20.695831565885694,-20.126961835151
2021jhp,0.7147,59307.09702891142,59309.323211984745,59318.341199999995,-7.834667948905367,-6.670171256143563,-0.8310031711056404,-0.1169718411105113,0.5207421918346552,0.7293534625962943,0.917954084877714,0.739781366301131,0.0,0.0652060824521298,0.0354632735989815,0.0704675705543565,2.574635592032939,0.3965652141221421,0.0588102048529507,0.1197292772645773,0.0487964660574254,0.0156671342336835,-20.238883239229608,-21.028128644300732,-20.83709178375693
2021jhq ,0.0597,59333.269192599626,59326.75318254622,59327.69789820237,-2.3577736810056114,-0.116097945300394,2.5614515138735694,0.2392707985036315,0.3452416956451891,-0.7002344351206303,2.9095404303619117,1.5731866082440262,0.7830343501028717,0.1937318597197316,0.1078573073166989,0.0509429417620564,0.397447002265996,0.0975482870418028,0.0241251986563102,0.0323394897907627,0.017332873826174,0.0069897756341047,-15.928448321128318,-14.31876367829527,-15.78349406818603
2021jhr ,0.1262,59328.34365329293,59336.22705329293,,-1.560912428107005,0.0012866483819998,,0.3420432802389501,0.4292229867218078,,0.1248305904669626,0.0,,0.012749583273217,0.0082800601541567,,0.2336807807648559,0.0831993083341396,,0.0335247321172414,0.0175894306182288,,-19.07321219440596,-18.87469594440703,
2021jhv ,0.093,59308.5457327333,59302.4413645434,59301.492868314315,-2.250096798726275,-0.4187918848995351,2.39266764481475,0.2366710868762503,0.3495830644745899,-0.627252992116397,0.0001950402818464,8.383369683972104e-05,0.4648358020934497,0.1216403546542289,0.0349399984746953,0.0325672428326938,0.4896425308040081,0.0985798191904511,0.0244640541868346,0.0332983229274509,0.0176256502510835,0.0070754471491857,-15.821477307328095,-16.200900901927355,-17.056157978547127
2021jhx ,0.1173,59333.48392027247,59324.34873039567,59326.216345049725,-5.339904498872109,-0.8289566468866111,2.2626254284267397,0.193578447099936,0.3638783443206834,-0.5738506630294997,3.3719846512920064,0.4243979654616426,0.5191655404305813,0.1069998441673362,0.0258183904165713,0.0329569069423998,0.5446240951180548,0.1013484326541297,0.0248058609418953,0.0342014247816353,0.0179371326474161,0.0071633314616338,-16.657851018145486,-16.721594657661406,-17.202159569547987
2021jhy ,0.1794,59303.76008489416,59304.62763520298,59303.28949610147,-5.677955906211394,-1.774302055733166,1.938788483784765,0.196105601267489,0.3764332344168603,-0.4389162238110445,1.4567838959091324,1.1487391011681654,0.5171096197523084,0.134599189191598,0.0786532543899306,0.0356478539758469,0.6468562132321468,0.1143498127058822,0.0261025600642361,0.0373943455091025,0.0191179769228078,0.0074800564411003,-16.27441207413599,-16.705389404864697,-18.210220522590696
2021jia,0.0673,,,59356.43412327122,,,2.5212016815291087,,,-0.6830781307208353,,,0.924042989426608,,,0.0634635758492617,,,0.0242097322361315,,,0.0070068651049912,,,-15.90029089060145
2021jib ,0.3233,,59350.68534143316,59346.4514481737,,-3.5385369717202035,1.1929457723520616,,0.4159617044282999,-0.1250549043834909,,1.9297138968150072,1.3761743751014806,,0.0901676933596397,0.0590970479525809,,0.1572655513193374,0.0310501806617662,,0.0236250912623087,0.00871763039072,,-18.09626278208512,-19.07547684122449
2021jif ,0.3099,,59345.727343065366,59338.00693994474,,-3.3923747297111584,1.2636729666795667,,0.4112351934496573,-0.1543217896177402,,2.487638901680442,1.5165084404746725,,0.1516580138699054,0.0750897314681096,,0.1521754683043304,0.0304632499987192,,0.0230998013757788,0.008572756736221,,-17.9753722984799,-19.25897074538617
2021jii ,0.4276,59312.685486339,59316.76358689516,59322.678686339,-7.273446585981815,-4.722915726598645,0.6548275264970937,0.0490844629440719,0.4408368828970626,0.102597116101384,1.1590706970432807,1.0326713422450315,0.0,0.051120003676098,0.0336502019330948,0.0553493129408126,1.380416220598665,0.2040879587697441,0.0363869996902823,0.0634687119151121,0.0285022587408665,0.0100574432478141,-19.10732453108673,-19.65015455123364,-19.887241814783785
2021jwy ,0.1959,59308.39850477027,59316.76980477027,59300.027204770275,-3.028440244134508,-1.9150426836453849,1.85366991065588,0.198705890679133,0.3805883496700634,-0.402945502532847,0.0001136660818084,0.0,0.0,0.0380677989146049,0.0279571065607319,0.1090639691187797,0.5683115582391035,0.1158076685523495,0.0265252208160389,0.0383231279084205,0.0194950204557788,0.0075861779062058,-17.366672272478766,-17.964593225566567,-17.968701963872434
2021jxj  ,0.2765,,59336.634592367926,59327.699092367926,,-2.83401803529714,1.443599306408296,,0.4009872684877273,-0.2267339211155845,,0.0,0.7678254212191804,,0.0857509776596612,0.0360419527618971,,0.1390880721080271,0.0290930171447826,,0.0218764004424306,0.0082357728165617,,-18.426342482621713,-19.50552217273514
